2025-10-19 11:17:19,323 | INFO | outlook_mcp_server | Configurazione features caricata da C:\Users\Davide\OneDrive - Sonepar\Documenti\MCP\outlook-mcp-server\features.json (groups on=* off=-, tools on=- off=-)
2025-10-19 11:20:38,102 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_list
2025-10-19 11:20:38,104 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_detail
2025-10-19 11:20:38,106 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_actions
2025-10-19 11:20:38,108 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.attachments
2025-10-19 11:20:38,110 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.contacts
2025-10-19 11:20:38,111 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.calendar_read
2025-10-19 11:20:38,113 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.calendar_write
2025-10-19 11:20:38,114 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.domain_rules
2025-10-19 11:20:38,163 | INFO | outlook_mcp_server | Registrazione tool MCP completata: 31 tool
2025-10-19 11:20:38,166 | INFO | outlook_mcp_server | Outlook MCP Server avviato in modalita mcp.
2025-10-19 11:20:38,166 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.system
2025-10-19 11:20:38,167 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.folders
2025-10-19 11:20:38,168 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_list
2025-10-19 11:20:38,169 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_detail
2025-10-19 11:20:38,170 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_actions
2025-10-19 11:20:38,172 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.attachments
2025-10-19 11:20:38,173 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.contacts
2025-10-19 11:20:38,174 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.calendar_read
2025-10-19 11:20:38,175 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.calendar_write
2025-10-19 11:20:38,176 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.domain_rules
2025-10-19 11:20:38,177 | INFO | outlook_mcp_server | Registrazione tool MCP completata: 31 tool
2025-10-19 11:20:38,178 | INFO | outlook_mcp_server | Verifica della connessione a Outlook in corso.
2025-10-19 11:20:38,194 | INFO | outlook_mcp_server | Connessione a Outlook verificata. La Posta in arrivo contiene 2088 elementi.
2025-10-19 11:20:38,196 | INFO | outlook_mcp_server | Server MCP avviato in modalita streamable-http su http://0.0.0.0:8000/mcp.
2025-10-19 11:20:49,461 | INFO | outlook_mcp_server | Segnale SIGINT ricevuto; arresto graduale in corso.
2025-10-19 11:21:11,959 | INFO | outlook_mcp_server | Configurazione features caricata da C:\Users\Davide\OneDrive - Sonepar\Documenti\MCP\outlook-mcp-server\features.json (groups on=* off=-, tools on=- off=-)
2025-10-19 11:21:11,967 | INFO | outlook_mcp_server | Find iniziale per la cartella calendario 'Calendario' ha trovato l'evento 'Evento imminente'.
2025-10-19 11:21:11,967 | INFO | outlook_mcp_server | Recuperati 1 eventi dalla cartella calendario 'Calendario'.
2025-10-19 11:21:11,967 | INFO | outlook_mcp_server | Dettagli scansione calendario 'Calendario': analizzati=2 salti={'no_start': 0, 'past': 0, 'beyond': 1, 'search': 0, 'errors': 0}
2025-10-19 11:21:11,969 | INFO | outlook_mcp_server | Find iniziale per la cartella calendario 'Calendario' ha trovato l'evento 'Quarterly meeting'.
2025-10-19 11:21:11,969 | INFO | outlook_mcp_server | Recuperati 1 eventi dalla cartella calendario 'Calendario'.
2025-10-19 11:21:11,969 | INFO | outlook_mcp_server | Dettagli scansione calendario 'Calendario': analizzati=2 salti={'no_start': 0, 'past': 0, 'beyond': 0, 'search': 1, 'errors': 0}
2025-10-19 11:21:11,971 | INFO | outlook_mcp_server | Find iniziale per la cartella calendario 'Calendario' ha trovato l'evento 'Evento con timezone'.
2025-10-19 11:21:11,971 | INFO | outlook_mcp_server | Recuperati 1 eventi dalla cartella calendario 'Calendario'.
2025-10-19 11:21:11,971 | INFO | outlook_mcp_server | Dettagli scansione calendario 'Calendario': analizzati=1 salti={'no_start': 0, 'past': 0, 'beyond': 0, 'search': 0, 'errors': 0}
2025-10-19 11:21:11,972 | INFO | outlook_mcp_server | Aggregati 2 eventi provenienti da 2 cartelle calendario.
2025-10-19 11:21:56,812 | INFO | outlook_mcp_server | Configurazione features caricata da C:\Users\Davide\OneDrive - Sonepar\Documenti\MCP\outlook-mcp-server\features.json (groups on=* off=-, tools on=- off=-)
2025-10-19 11:22:09,604 | INFO | outlook_mcp_server | Configurazione features caricata da C:\Users\Davide\OneDrive - Sonepar\Documenti\MCP\outlook-mcp-server\features.json (groups on=* off=-, tools on=- off=-)
2025-10-19 11:22:09,624 | INFO | outlook_mcp_server | Find iniziale per la cartella calendario 'Calendario' ha trovato l'evento 'Evento imminente'.
2025-10-19 11:22:09,625 | INFO | outlook_mcp_server | Recuperati 1 eventi dalla cartella calendario 'Calendario'.
2025-10-19 11:22:09,625 | INFO | outlook_mcp_server | Dettagli scansione calendario 'Calendario': analizzati=2 salti={'no_start': 0, 'past': 0, 'beyond': 1, 'search': 0, 'errors': 0}
2025-10-19 11:22:09,626 | INFO | outlook_mcp_server | Find iniziale per la cartella calendario 'Calendario' ha trovato l'evento 'Quarterly meeting'.
2025-10-19 11:22:09,627 | INFO | outlook_mcp_server | Recuperati 1 eventi dalla cartella calendario 'Calendario'.
2025-10-19 11:22:09,627 | INFO | outlook_mcp_server | Dettagli scansione calendario 'Calendario': analizzati=2 salti={'no_start': 0, 'past': 0, 'beyond': 0, 'search': 1, 'errors': 0}
2025-10-19 11:22:09,628 | INFO | outlook_mcp_server | Find iniziale per la cartella calendario 'Calendario' ha trovato l'evento 'Evento con timezone'.
2025-10-19 11:22:09,628 | INFO | outlook_mcp_server | Recuperati 1 eventi dalla cartella calendario 'Calendario'.
2025-10-19 11:22:09,628 | INFO | outlook_mcp_server | Dettagli scansione calendario 'Calendario': analizzati=1 salti={'no_start': 0, 'past': 0, 'beyond': 0, 'search': 0, 'errors': 0}
2025-10-19 11:22:09,629 | INFO | outlook_mcp_server | Aggregati 2 eventi provenienti da 2 cartelle calendario.
2025-10-19 11:24:47,640 | INFO | outlook_mcp_server | Configurazione features caricata da C:\Users\Davide\OneDrive - Sonepar\Documenti\MCP\outlook-mcp-server\features.json (groups on=* off=-, tools on=- off=-)
2025-10-19 11:24:47,758 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.system
2025-10-19 11:24:47,764 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.folders
2025-10-19 11:24:47,767 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_list
2025-10-19 11:24:47,769 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_detail
2025-10-19 11:24:47,771 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_actions
2025-10-19 11:24:47,773 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.attachments
2025-10-19 11:24:47,775 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.contacts
2025-10-19 11:24:47,776 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.calendar_read
2025-10-19 11:24:47,778 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.calendar_write
2025-10-19 11:24:47,780 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.domain_rules
2025-10-19 11:24:47,828 | INFO | outlook_mcp_server | Registrazione tool MCP completata: 31 tool
2025-10-19 11:24:47,832 | INFO | outlook_mcp_server | Outlook MCP Server avviato in modalita mcp.
2025-10-19 11:24:47,833 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.system
2025-10-19 11:24:47,834 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.folders
2025-10-19 11:24:47,835 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_list
2025-10-19 11:24:47,836 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_detail
2025-10-19 11:24:47,837 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.email_actions
2025-10-19 11:24:47,838 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.attachments
2025-10-19 11:24:47,838 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.contacts
2025-10-19 11:24:47,839 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.calendar_read
2025-10-19 11:24:47,840 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.calendar_write
2025-10-19 11:24:47,841 | INFO | outlook_mcp_server | Registrazione tool MCP: import outlook_mcp.tools.domain_rules
2025-10-19 11:24:47,842 | INFO | outlook_mcp_server | Registrazione tool MCP completata: 31 tool
2025-10-19 11:24:47,843 | INFO | outlook_mcp_server | Verifica della connessione a Outlook in corso.
2025-10-19 11:24:47,854 | INFO | outlook_mcp_server | Versione Outlook rilevata: 16.0.0.19231
2025-10-19 11:24:47,861 | INFO | outlook_mcp_server | Connessione a Outlook verificata. La Posta in arrivo contiene 2088 elementi.
2025-10-19 11:24:47,863 | INFO | outlook_mcp_server | Server MCP avviato in modalita streamable-http su http://0.0.0.0:8000/mcp.
2025-10-19 11:24:49,951 | INFO | outlook_mcp_server | Segnale SIGINT ricevuto; arresto graduale in corso.
